word,deprel,score
stove,nn,0.033870829316378526
light,amod,0.12968878612488854
clock,nn,0.11972421033418867
clock,pobj,0.10867537209798417
light,pobj,0.05134992238751046
light,pobj,0.08191167423422185
light,root,0.042436070785138114
light,root,0.5442289307411949
water,root,0.22241868863226755
water,root,0.17392019945136794
water,dobj,0.1829716713467157
water,root,0.12069632596951728
light,pobj,0.1447598529699058
water,pobj,0.3900489788728991
water,pobj,0.030685030286362824
water,pobj,0.06591067966964115
water,pobj,0.1248300325782713
water,pobj,0.04840369828462132
water,root,0.007690394447530723
water,pobj,0.010105889000572743
water,pobj,0.08974909431645382
water,pobj,0.14823608203002836
water,pobj,0.1852477902028952
zebra,root,0.4754006776141222
baby,nn,0.0077093955572207235
baby,nn,0.005971598483358042
zebra,pobj,0.7526753397802043
zebra,nsubj,0.06089672503021526
zebra,pobj,0.019205566643032083
zebra,root,0.06328212520052923
zebra,pobj,0.025866272251487517
zebra,root,0.06328212520052923
zebra,pobj,0.025866272251487517
zebra,pobj,0.7630181380019515
water,pobj,0.011948483943606923
water,pobj,0.199251448042342
water,pobj,0.15604156533106284
water,pobj,0.21165083485743447
clock,nsubj,0.8327397747972035
clock,root,0.6775949171924278
clock,nsubjpass,0.3044699399691717
clock,nsubjpass,0.6941120299692488
water,pobj,0.4452456761196009
water,pobj,0.10025254488231727
water,pobj,0.2518386271236751
clock,pobj,0.09996638143484515
clock,nn,0.013075949290849098
clock,nn,0.08759413550367788
baby,nn,0.11085698908106356
clock,root,0.7516003542113738
clock,root,0.5526494193465021
clock,nsubj,0.6896003767834658
clock,root,0.08582651294426259
clock,nn,0.08643149656988935
clock,pobj,0.04892919012685682
clock,root,0.4107336700151151
clock,root,0.7690343699774077
clock,nn,0.2085585217917344
baby,pobj,0.13132880831342686
baby,dep,0.2879391025103341
baby,root,0.22106311008556725
baby,root,0.2755254842319361
water,pobj,0.06990439649352087
water,nn,0.08302808886393452
water,pobj,0.07562245837776915
water,pobj,0.046957498035784966
water,pobj,0.024702971402844283
water,pobj,0.1833585615159881
water,pobj,0.057293872183992726
water,pobj,0.10777143865958384
water,pobj,0.11971167687998717
baby,pobj,0.027960397330976217
water,pobj,0.0902116394004009
light,root,0.03239516313513436
light,pobj,0.2846264222518865
light,nsubj,0.1760659547684328
light,root,0.17132180699077204
light,root,0.2800409558364805
light,pobj,0.2124177297306984
water,pobj,0.07110039086004416
water,pobj,0.04460960830485572
water,pobj,0.08678022290572761
water,nn,0.056682331845321676
water,pobj,0.00952875854501789
light,nsubj,0.1070632527336144
light,pobj,0.11110689120195172
water,pobj,0.15908746552941955
water,pobj,0.1912522347181692
water,pobj,0.3425100026340025
water,xcomp,0.027719519115296357
water,pobj,0.022221996154619283
water,root,0.04046995719566859
water,pobj,0.07468146315617864
light,nn,0.06575080962370873
water,pobj,0.014110088795308397
baby,nn,0.13601362989833074
zebra,nsubj,0.8292526950458514
zebra,nn,0.6847387423173417
zebra,root,0.536078937146502
zebra,root,0.6346826270696898
zebra,root,0.6343498024061301
zebra,nsubj,0.603346256659679
zebra,root,0.6113622635868575
water,pobj,0.070087592898194
water,pobj,0.028965041271620025
water,pobj,0.015417783449573674
light,root,0.16625225437968086
baby,nsubj,0.36875971814996983
baby,nn,0.18649723866810816
baby,root,0.2852087013965621
baby,nsubj,0.4512063981341203
stove,pobj,0.1281202145095427
stove,pobj,0.10659013548097472
stove,pobj,0.01628507390417977
stove,nn,0.08077233667978366
water,root,0.00660843352970264
water,pobj,0.17357524279829295
water,pobj,0.34106468866446404
water,nn,0.3873143216895725
water,nn,0.4302725670096671
water,pobj,0.01953126233084113
water,pobj,0.3272869957290645
water,nn,0.2665982267109401
water,pobj,0.1414813444946733
baby,npadvmod,0.025313297624711573
baby,nn,0.1121952183259386
water,pobj,0.0532129215054088
water,pobj,0.12810170971088275
water,pobj,0.09268316906632335
water,pobj,0.10716059412232147
water,nn,0.08166102617985782
zebra,root,0.021070689791036767
zebra,conj,0.02081728446791486
zebra,root,0.7312176573190654
zebra,pobj,0.6005939833150036
water,pobj,0.21112657800663004
water,pobj,0.2942380880064075
water,pobj,0.3970352566225832
water,pobj,0.08734700205227242
water,pobj,0.026351144016766304
light,nsubj,0.04740391568586588
light,amod,0.16167438242964094
water,nn,0.11774179618494007
water,pobj,0.09860667708408931
clock,root,0.6814462398438326
clock,root,0.7160374054206213
clock,nsubj,0.6782682350989764
clock,pobj,0.7588759364376974
clock,root,0.2722048326590701
clock,nn,0.05716834247312753
clock,nn,0.08482182285378392
clock,pobj,0.02895452871658999
clock,nn,0.04678388067092687
clock,nn,0.18452520441078
clock,nn,0.12913038915984276
clock,nn,0.2976481975800688
clock,nn,0.03180372027899225
clock,nn,0.0771138774309663
clock,conj,0.3595421048100285
baby,pobj,0.3057693605829049
baby,nsubj,0.4224619878718547
baby,nsubj,0.5812632366492951
baby,root,0.5545117238566053
stove,pobj,0.03795391759776656
water,nn,0.01801267720036881
clock,pobj,0.004667264899873346
clock,conj,0.030907875371303795
water,nn,0.05111903301447629
water,pobj,0.019439222186785957
light,nn,0.01571394121555847
light,root,0.2668785588854028
light,pobj,0.38165444568054696
light,root,0.4099414649252217
light,root,0.512803481111619
light,nsubj,0.29934986349126114
clock,nn,0.02168553953603214
light,root,0.2359263348893529
light,nsubj,0.3624911853731828
light,nsubj,0.15796624587476304
light,root,0.508344735345945
light,root,0.2420218686106501
water,pobj,0.015619623687090025
water,pobj,0.22829381216657385
